title,text

Проблемы с интернет соединением,здравствуйте звать ирина слушать здравствуйте подсказать пожалуйста пользование интернет идти сентябрь период начинать переделать последний момент очень ваш компания уважаемый позволять какой ремонтный работа посчитать время который пользоваться интернет линия ваш компания вылет например полдень хотя честной честной ваш компания должный либо вернуть средство либо послед хрень пользоваться интернет правильно данный момент какой ремонтный работа нужный интернет войти мочь согласный мой слово работа аварийный ситуация магистральный провайдер произойти амбра работа очень часто аварийный ситуация ваш компания обязать возврат минута часы который человек найти пользоваться интернет считать право правильно говорить факт восстановление мочь обратиться кто обращаться сюда звонить подождать подождать послушать слушать мочь мочь выборка сделать сентябрь сколько какой время сентябрь такой инцидент происходить сожаление мочь работать почему знать свой смена какой ограничение работать каждый ночь идти везти правильно обращаться день этот вопрос работать доступ интернет должный обращаться ваш уважаемый компания обязать возвращать итак минута возвращать человек назад оплата идти наш компания делать абонентский плата зафиксировать течение сутки остановление доступ делать перерасчёт абонентский плата неправда ваш компания делать ваш компания просто говорить информация который знать делать нужный интернет пока быть помочь смочь данный момент технический причина зафиксровать приостановление доступ отвратительный компания руководитель руководитель бес бессовестный руководитель отвратительный компания пускай передаться дойти ваш руководство очень отвратительный предоставлять свой услуга очень отвратительный никак ественный сколько какой количество ремонт просто вообще непонятно дело происходить восстановление сколько быть мой ужас час бессовестный компания очень бесконечный прийтись расторгать договор очень бековый компания приносить свой извинение лицо компания заставный удобство спросить алло
Проблемы с интернет соединением,здравствуйте звать илья слушать здравствуйте подсказать пожалуйста такой остановка квартира 13 работать вай фай хватать сумма просто видеть хозяин короче стать платить интернет хозяин квартира отменение полтора 1000 смотреть сняться 500 р 5 работать интернет вай фай подсказать пожалуйста кто оформить данный договор маслов андрей викторович спасибо 70 р маленький стать сожаление данный момент минута зафиксировать приостановление доступ работать смотреть включать угу данный момент зафиксировать приостановление доступ технический причина сожаление идти русский кино смотреть канал снять 5 россия работать работать риа новость включительно поговорить именно отзыв абонент вообще следить агата интернет просто магистральный провайдер зафиксировать обрыв наш специалист перевод резервный абонент возможно девушка такой проблема перм 5 зима программист просто нахождение ваш специалист интернет пробовать грубо говорить один интернет 5 повредить айпитва скорее перевести резерв интернет интернет проблема отлично пожалуйста угу интересно сколько должный посмотреть счёт положить вообще случайно отключить минута тарифный сан откроить ага 700 запись телефон интернет 627 пользоваться 359 402 6 минута такой пиковый кабельный угу работать телевидение итв либо кабельный точно смотреть также верно кабельный телевидение офис 21 359 420 абонентский плата 1500 р месяц ровно ровно верно денежка платить просто действительно такой ситуация сожаление технический причина мочь сказать работать видеть знать рвать металло постоянно проблема постоянно ага подсказать какой период проблема час зафиксировать 9 течение 5 час восстанавливать спец алиса мегафон новый уренгой произойти обрыв получиться получиться гидрадация трафик сожаление робомент интернет указать навои утро сожаление течение 6 час телек работать год лтергый приносить свой извинение лицо единственный позвонить час сказать работать правда включить мочь кормить просто час такой включить смотреть начало загружать телефон загружаться думать восток говорить поговорить немой провайдер приносить свой извинение быть адель идти 9 ран подойти доступ интернет спасибо большой алиса добрый хороший свидание добрый ночь спасибо большой добрый
Проблемы с интернет соединением,добрый вечер звать ир здравствуйте звать валерий вопрос вчера полдень интернет пользоваться сегодня пользоваться ранний хотя присылать какой уведомление смс уведомление допустить игровой игра ваш вопрос день подарить пользоваться дальнейший ваш услуга свидание наш отправить извинить пожалуйста смска должный бросать просто допустить играть вчера виза пропасть интернет сегодня внучка прожить интернет сказать пожалуйста мы обращаться этот вопрос наш специалист проверять именно происходить порно никакой ограничение данный момент кроме норильск норильск зеленогорск говорить данный момент ограничение кроме норильск настоящий момент зелёный 5 интернет пожалуйста зеленогорск парковый 72 квартира 6 юрий геннадиевич спасибо кабель интернет сказать пожалуйста переподключать валерий геннадиевич вообще никуда переключать никакой действие правильно делать катя напряжение видеть свет отключать иметь ввиду скачок секунда вырубать просто угу просто говорить вчера ехать пол около пропасть ладный день грубо говорить ерунда очень игра нету появиться час 6 вчера появиться поэт думать ладный интернет смысл заплатить положить ночь играть нету раз данный момент почему спросить переподключить вокал скорее произойти скачок напряжение либо электросеть абакан мочь знать система просить обновить адрес обновление адрес доступ интернет возобновляться течение 10 15 минута данный момент 10 15 минута нужно ждать никакой ограничение наш сторона ваш оборудование видеть получить регулярно просто ожидать пожалуйста обновить говорить сам кадр заново зарегистрировать система запросить течение 10 15 минута смотреть 5 утро ладный дать нужно делать какой действие терпение трогать смысл работать играть понять ожидать пожалуйста скоро появиться спасибо большой спасибо проповедь сразу обращаться мы проверять телефон сохранить спасибо сохранять очень надеяться поменяться сниться хороший свидание нравиться голос спасибо хороший свидание спокойный ночь
Проблемы с оплатой,здравствуйте звать слушать 180 327 интернет пожалуйста 180 320 кто оформить данный договор артём анатолиевич дом технический фсин приостановить доступ заниматься установление плач деньга товар данный момент оборудование сожаление мочь специалист переводить абонент резерв близкий время восстановиться близкий время нужный прекрасно понимать плач лёжа член интернет деньга списать какой время 0 час точно кушать кушать зарплата платить предоставить интернет нужный сетка сожаление данный момент простить ничто смочь помочь ничто мочь помогать вернуть восстановление вернуть деньга извинить оператор контакт центр прекрасно делать заявка расчёт виш дача предоставить страх знать 0 час работать прекрасно 5 час отработать данный момент ограничение час ночь сожаление работать интернет говорить работать перерасчёт форма произвести течение 30 календарный день час перо заказать просрочка привет повод авария сколько диктовать закрыться сожаление мочь сделать абонентский пла иметь право договор считать говорить информация заказ данный момент владий оператор контакт центр ниязов перерасчёт абонентский плата понять перерасчёт предоставить интернет принц оператор контакт центр сделать перерасти наш абонент прекрасно загружать оборудование перезагружать оборудование данный момент помочь ничто смочь кроме оформить заявка почему мочь перезапустить оборудование перегрузить пожалуйста повторить артём анатолиевич оператор контакт центр яни технический поддержка поддержка вальный ситуация оператор контакт центр наш специалист город заниматься восстановление загадка специалист приехать сожаление данный момент сожаление смочь помочь простить пожалуйста смысл связать техподдержка притча мочь почему хотеть зарплата мочь технический возможность извинить пожалуйста смысл связать технический специалист данный момент технический специалист 9 утро начинать работать аварийный служба работать место авария дата возникнуть технический возможность связываться аварийный служба смысл интернет должный предоставить услуга предоставлять короче отказываться сделать дать пожалуйста вы связаться номер заявка специалист общаться поставить представиться звать ирина начало разговор кто оформлять 597 69 56 номер заявка фамилия имя отчество ваш специальный информация оформлять кто должный оформлять 7 85 оформлять жалоба 0 7 претензия отказаться помочь завершение минута пожалуйста загрузить информация повод крести готовый записывать ваш слушать сказать писать повторить пожалуйста хотеть записать сообщить понять слышать повторить слово написать который нужный написать защитить сказать сообщить давать быть писать проговаривать просить разобрать разобраться оператор разобраться применить применить соответствующий такт оператор верно верно 8 0 7 85 указать далёкий сказать предоставить доступ верно отказаться решить вопрос лежать служба жить возможность простить пропасть специалист какой кроме техподдержка ребята специалист возможно 7 иметь возможно специалист специалист иметь проговаривать писать другой мочь писать проговаривать прочитать передавать пожалуйста артём анатолиевич написать вопрос работать 7 интернет дополнение хота применить соответствие оператор линия внутренний номер 0 7 85 отказаться решить вопрос связь ферма интернет связаться служба техподдержка специалист иметься возможность решить вопрос работать интернет верно верно контактный номер телефон обратный связь который обращаться прописать договор минута продиктовать номер ваш заявка отправить смс записывать пожалуйста 597 угу 69 57 дать заявка рассмотреть 5 7 календарный день вы связаться вопрос к быть
Проблемы с оплатой,здравствуйте добрый день сказать пожалуйста квартира толстой 204 149 угу алиса владимирович почему снять 864 р сентябрь задолженность 14 р 7 абонентский плата 15 бой сентябрь месяц телефон октябрь месяц число произойти списание размер 850 р 14 р почему 850 р 700 р телевидение подключить телевидение добро переслать данный тарифный план перейти день назад должный отключить обуть телевидение интернет аренда приставка взиматься быть сказать пожалуйста приставка забрать приставка привезти наоборот 39 р новый тариф поставить тариф забыть ставить верно хотеть хотеть забрать хотеть приставка остаться абонентский плата 700 р месяц решать аренда приставка так 9 сниматься 850 р телевидение сказать хотеть минута пожалуйста хотеть понять открыться дать канал дан также оформить заявка перерасчёт абонентский плата приставка выйти жена каретный плата перепой заключаться молодой человек минута поехать говорить заключать говорить говорить заявка подать электронный вид заключать договор просто аре оборудование пока пользоваться быть менять севанский плата кв такт рука контактный номер телефон связь вы мочь указать который 95 верно перерасчёт данный телевидение сделать наш минута минута минута угу чета указать просто какой пакет сделать 550 р абонентский плата заявка оформить данный момент мочь предложить обещать платёж обычный платёж сделать течение какой календарный день вы связаться наш специалист вопрос к быть спасибо хороший свидание угу
Проблемы с интернет соединением,телефон владимир слушать добрый утро город поликлиника номер пропасть продиктовать уточнить извинить пожалуйста 24 57 0 71 0 9 минута давно интернет работать соль почасно вечер данный адрес находиться данный момент данный адрес находиться пара минута ожидать посмотреть информация ваш кабель прощение ожидание какой проблема ваш кабель видеть подать заявка дать вопрос посмотреть интернет наш инженер попробовать выяснить работать контактный телефон который позвонить давать мобильный указать пожалуйста 915 913 526 126 29 86 ваш заявка отправить ожидать течение карина вы должный связаться 9 час понять спасибо огромный спасибо большой обращение добрый свидание свидание
Проблемы с оплатой,телек мочь помочь добрый ночь девушка подсказать пожалуйста перевести вселенная нарком вернуться отпуск зайти сайт пополнить баланс 500 р привить 500 р списать рада 3000 мой 37 р никак мочь никуда точно локальный сетка работать запутаться вчера вчера работать вообще давать посмотреть проверить назвать адрес сколько день стоить давать посмотреть проверить назвать пожалуйста адрес мочь номер свой ошибка 305 395 кто оформить договор поменять неправильно минута азия заключаться 500 р стоить тариф овладеть 500 день сняться сказать сколько точно сняться день 31 число 37 р 35 р хватать нужно 10 500 пользоваться интернет подсказать пожалуйста почему происходить хотеть допустить 31 31 интернет работать 31 списать 37 р хотя понимать почему происходить каждый месяц 30 31 число такой 5 5 суслов лев 30 31 посмотреть 500 р месяц день выходить 16 р посчитать данный момент видеть абонентский плата вика 31 сколько пользоваться 48 71 проверить почему просто приехать минута выбирать понимать проверять просто объяснять порно ой заходить наверное собрать сказать точно 20 новый видеть день пользоваться пользоваться 28 29 30 использовать 31 поделить списание сходить такой случай развал 500 р спокойно пользоваться ребёнок снять денежный средство весь месяц быть пользоваться наш денежный средство период снимать посуточно нормально вносить середина период пересчитывать смс период лавный си конец месяц высчитывать знать число считывать 30 число полностью сифон угу понятно насколько быстро 400 понятно попробовать сделать снять 500 р найти свой тариф список подсказать посмотреть количество трафик ваш мой тариф правильно понимать писнить информация объём трафик 3000 посмотреть сколько остаться минута угу минута пожалуйста оставаться линия постолько недавно перевести информация надеяться вернуть вернуться отключать
Проблемы с оплатой,телек мочь помочь здравствуйте пропасть интернет число сказать пожалуйста адрес котульский 21 150 видеть баланс стать 204 р проверить кто договор оформить буква большой спасибо предоставить информация записать отрицательно проверить угу видеть начислить 549 240 9 300 правильно перекататься прошлый месяц составлять 344 71 данный момент отрицательный баланс 204 29 понять почему 300000 300 сказать 249 питер день 300 идти звать евгений вроде бесплатно очень странно ясно тариф тариф 15 10 19 который идти кабельный телевидение 0 р данный момент видеть определить внии 16 0 4 кабельный телевидение 300 сказать какой образ почему именно заменить смочь специалист который заниматься изменение этот тариф работать 9 9 угу утром позвонить сказать причина весь угу понять отключить телевидение смочь страница мочь сделать позвонить линия сказать понять дело предложить вариант мочь отключать человек предложный просто отключиться понять ладный спасибо добрый свидание
Проблемы с интернет соединением,мочь помочь алло слышать слышать поддержка круглосуточно круглосуточно замечательный библиотека калининский район город новосибирск угу сказать сказать пожалуйста посмотреть интернет угу 541 012 86 52 угу указать получаться несколько какой вопрос мы значит адрес подключение курчатов 37 видеть линк угу минута найти курчатов 37 правильно правильно угу получаться подключение видеть айпить адрес 89 189 184 39 ваш 62 видеть угу оставаться пожалуйста линия отключаться
Проблемы с роутером,добрый день звать андрей слушать добрый вечер звать сергей позвонить смотреть проблема блокировать роутер ест пароль пароль книжка пароль попробовать подключить ноутбук телефон телефон работать вай фай работать попробовать перезагрузить роутер получаться либо куча сбой лицевой счёт меняться роль почему стать совпадать подождать телефон примета скинуть пароль удалить загрузить новость пароль видеть роутер номер лицевой счёт назвать пожалуйста давать че адрес жить искать персональный проверка город новосибирск кропоткин 127 квартира 8 сергей валериевич роутер предать роутер давно сколько год модель рота ртн 12 минута подождать пожалуйста хотеть либо дело получиться спасибо ожидание зарегистрировать заявка техподдержка техподдержка вы завтра оператор какой проблема смотреть ценовый подключение пробовать везде техподдержка техподдержка получаться крайний случай давать вы посмотреть подключение нету сигна проходить настрой всякий случай перезагрузить порт почему принимать пароль лицевой счёт понимать являться входной удалённый доступ роутер настроить поэтому проверить пароль смочь техподдержка проверить пароль угу начать какой готовый завтра туда рисовать позвонить возможно отметить завтра техподдержка вы связаться спасибо спасибо спасибо спасибо обращение свидание
Проблемы с роутером,спасибо ожидание дать действительно возможность снижение скорость тот пакет особенно вечерний время проблема наш специалист решать работать соответственно немного вариант рот подключение пребольшой роутер выключить пожалуйста роутер розетка секунда секунда снова написать пожалуйста спасибо ожидание проверить пожалуйста ловиться работа вообще страница прогружаться google работать интернет устройство идти какой конкретный телефон вай фай минута зарегистрировать техподдержка техподдержка работать дополнить секунда поддержка сам завтра сколько готовый принять завтра быть секунда ответить подсказать удалить проблема массовый город дамский скорость планировать хранить достаток конкретный срок обозначить сожаление повод интернет связаться спасибо большой спасибо обращение свидание свидание
Проблемы с роутером,здравствуйте звать анна мочь помочь анна здравствуйте говорить сочень коллега антон такой проблема вчера провести интернет заплатить абонентский плата вчера интернет сегодня просыпаться р антон сказать нужно заплатить р заплатить 20 р ноутбук подключить комично ёлка сеть интернет уточнить пожалуйста лицевой счёт 94 простить алиса угу 94 82 41 кто зарегистрировать договор фёдоров алексей вячеславович минута пожалуйста посмотреть ваш предыдущий звонок баланс положительно переплата 17 р 84 интернет появиться верно причём подключение идти проводной напрямую роутер провод идти напрямую угу минута пожалуйста прямо подключить форд верно кабель компьютер ноутбук запускаться зарядка буквально 40 секунда показать работать просто показываться кабель подключить скорее ноутбук перезагружаться проверять видеть подключить минута пожалуйста мак сам установить новый должный интернет настройка обновить вчера звонить награда интернет сказать закрыть линия час появиться часик звонить появиться данный случай должный появиться 15 20 минута максимум угу роутер работать переключить обратно роутер нужно обратно менять заново физический адрес посмотреть напрямую заработать интернет нужно одеться скорее инженер либо переводить техподдержка вообще должный заработать ладный спасибо большой заработать 15 20 минута обратиться пожалуйста повторно спасибо добрый свидание
Проблемы с роутером,здравствуйте звать слушать мочь помочь сказать пожалуйста роутер мочь прописать посмотреть толиби сказать пожалуйста гашик 17 гоша смотреть 947 751 секунда просто мочь пользоваться оборудование зарегистрироваться 10 появиться появиться интернет служба появиться наруто вопрос подключить принцип видеть мой просто нажать народ должный написать занести пароль подключать занести такой роутер видимо компьютер телефон знать мы пароль занести сделать нажимать роутер телефон выйти пароль ивано роутер телефон логин пароль пароль посмотреть опред должный написать покупать роутер пароль мы зарегистрировать правильно должный проявить провести интернет давать какой вопрос глава верно пароль вай фай роутер переврать пин код переворачивать спасибо добрый свидание сбросить изменить допустить заниматься быть делать почему просто поменять пароль поменять положить пасмурно нажимать вообще нету разбираться сука достроить спасибо большой алло здравствуйте добрый вечер сказать пароль погодить интернет спасибо позвонить свидание добрый
